Time,1,2,3,5,6,7,8,9,10,Average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.43,1275.0,1800.0,1912.5,1980.0,1928.5714285714287,849.84,1940.625,1987.5,1743.75,1713.087380952381
30.723000000000003,2550.0,2149.125,3825.0,3960.0,3857.1428571428573,1699.68,3881.25,3975.0,3487.5,3264.9664285714284
37.900999999999996,3825.0,2498.25,4059.6,5940.0,5785.714285714286,2549.52,5821.875,5962.5,5231.25,4630.4121428571425
45.235,3956.4545454545455,2847.375,4294.2,7920.0,7714.285714285715,3399.36,7762.5,7950.0,6975.0,5868.797251082252
52.568000000000005,4087.909090909091,3196.5,4528.8,9900.0,9642.857142857143,4249.2,9703.125,9937.5,7147.363636363636,6932.583874458874
57.328,4219.363636363636,3545.625,4763.4,10092.818181818182,11571.428571428572,5099.04,11643.75,11925.0,7319.727272727273,7797.794740259741
65.931,4350.818181818182,3894.75,4998.0,10285.636363636364,13500.0,5948.88,13584.375,12064.25,7492.090909090909,8457.644494949496
74.634,4482.272727272727,4243.875,5232.6,10478.454545454546,13680.461538461539,6798.72,15525.0,12203.5,7664.454545454546,8923.259817404818
109.686,4613.727272727273,4593.0,5467.2,10671.272727272728,13860.923076923076,7648.56,15681.4,12342.75,7836.818181818182,9190.627917637918
114.751,4745.181818181818,4593.0,5701.8,10864.090909090908,14041.384615384615,8498.4,15837.8,12482.0,8009.181818181818,9419.204351204351
119.75200000000001,4876.636363636364,4596.0,5936.4,11056.909090909092,14221.846153846154,9348.24,15994.2,12621.25,8181.545454545454,9648.114118104118
131.031,5008.090909090909,4804.5,6171.0,11249.727272727272,14402.307692307691,10198.08,16150.6,12760.5,8353.909090909092,9899.857218337218
136.15,5139.545454545455,5013.0,6171.0,11442.545454545454,14582.76923076923,11047.92,16307.0,12899.75,8526.272727272728,10125.533651903654
141.235,5271.0,5221.5,6241.6875,11635.363636363636,14763.23076923077,11897.76,16463.4,13039.0,8698.636363636364,10359.064252136752
151.387,5284.0,5430.0,6312.375,11828.181818181818,14943.692307692309,12747.6,16619.8,13178.25,8871.0,10579.433236208237
166.86700000000002,5297.0,5638.5,6383.0625,12021.0,15124.153846153846,13597.44,16776.2,13317.5,8996.5,10794.59514957265
168.19299999999998,5310.0,5847.0,6453.75,12246.0,15304.615384615385,14447.28,16932.6,13456.75,9122.0,11013.33282051282
176.187,5323.0,6055.5,6524.4375,12334.0,15485.076923076922,15297.12,17089.0,13596.0,9247.5,11216.84826923077
178.91299999999998,5336.0,6264.0,6595.125,12422.0,15665.538461538461,16146.960000000001,17245.4,13596.0,9373.0,11404.891495726495
189.456,5349.0,6472.5,6665.8125,12510.0,15846.0,16996.8,17401.8,13714.894736842105,9498.5,11606.145248538012
192.354,5362.0,6681.0,6736.5,12598.0,15846.0,17846.64,17558.2,13833.78947368421,9624.0,11787.347719298246
197.52599999999998,5375.0,6889.5,6807.1875,12686.0,15846.0,18696.48,17714.6,13952.684210526315,9749.5,11968.550190058479
211.645,5388.0,7098.0,6877.875,12774.0,15899.470588235294,19546.32,17871.0,14071.578947368422,9875.0,12155.6938372893
214.38,5401.0,7306.5,6948.5625,12862.0,15952.941176470587,20396.16,17871.0,14190.473684210527,10000.5,12325.459706742346
230.028,5414.0,7515.0,7019.25,12950.0,16006.411764705883,21246.0,17971.5,14309.368421052632,10126.0,12506.392242862057
232.21599999999998,5427.0,7723.5,7089.9375,13038.0,16059.882352941177,21246.0,18072.0,14428.263157894737,10251.5,12592.8981123151
265.6,5440.0,7932.0,7160.625,13126.0,16113.35294117647,21334.0,18172.5,14547.157894736842,10377.0,12689.181759545922
266.064,5453.0,7932.0,7231.3125,13214.0,16166.823529411764,21422.0,18273.0,14666.052631578947,10502.5,12762.298740110078
281.14099999999996,5466.0,8091.315789473684,7302.0,13302.0,16220.29411764706,21510.0,18373.5,14784.947368421053,10628.0,12853.1174750602
286.29900000000004,5479.0,8250.631578947368,7530.0,13390.0,16273.764705882353,21598.0,18474.0,14903.842105263158,10753.5,12961.415376676987
290.517,5492.0,8409.947368421053,7530.0,13478.0,16327.235294117647,21686.0,18574.5,15022.736842105263,10879.0,13044.379944960441
300.735,5505.0,8569.263157894737,7606.263157894737,13566.0,16380.70588235294,21774.0,18675.0,15141.631578947368,11004.5,13135.81819745442
316.493,5664.1578947368425,8728.578947368422,7682.526315789473,13654.0,16434.176470588234,21862.0,18775.5,15260.526315789473,11130.0,13243.496216030273
316.582,5823.315789473684,8887.894736842105,7758.789473684211,13742.0,16487.647058823528,21950.0,18876.0,15379.421052631578,11130.0,13337.229790161677
329.695,5982.473684210527,9047.21052631579,7835.0526315789475,13830.0,16541.117647058825,22038.0,18976.5,15498.315789473683,11269.95,13446.513364293085
334.764,6141.631578947368,9206.526315789473,7911.315789473684,13830.0,16594.58823529412,22126.0,19077.0,15617.21052631579,11409.9,13546.019160646716
335.24,6300.789473684211,9365.842105263158,7987.578947368421,13830.0,16648.058823529413,22214.0,19177.5,15736.105263157895,11549.85,13645.524957000343
351.092,6459.9473684210525,9525.157894736842,8063.8421052631575,13941.78947368421,16701.529411764706,22302.0,19278.0,15855.0,11689.8,13757.45180598555
360.605,6619.105263157895,9684.473684210527,8140.105263157895,14053.578947368422,16755.0,22390.0,19378.5,16417.5,11829.75,13918.668128654972
361.06199999999995,6778.263157894737,9843.78947368421,8216.368421052632,14165.368421052632,16755.0,22478.0,19479.0,16980.0,11969.7,14073.943274853802
