Time,ID,Active Duration,LPM1 Duration,LPM4 Duration,RX Duration,TX Duration,Total Energy
3325.022,8,5,3319,0,2017,0,80382885
3333.81,3,5,3327,0,2042,0,81371685
3338.85,10,5,3332,0,2062,0,82162410
3412.73,1,4,3407,0,2201,0,87666015
3413.842,2,5,3408,0,2290,0,91180950
3447.533,5,7,3439,0,2951,0,117286185
3451.235,7,8,3442,0,2944,0,117011490
3461.314,9,7,3452,0,2334,0,92929950
3462.298,4,7,3454,0,2217,0,88311240
3521.185,6,6,3513,0,2355,0,93771765
3525.046,8,5,3518,0,2020,0,80546100
3533.833,3,5,3526,0,2046,0,81574380
3538.873,10,6,3531,0,2074,0,82681935
3612.754,1,5,3606,0,2401,0,95607780
3613.866,2,5,3607,0,2490,0,99121725
3647.556,5,7,3639,0,3151,0,125227185
3651.258,7,8,3642,0,3144,0,124952490
3661.338,9,7,3652,0,2534,0,100870950
3662.322,4,7,3654,0,2417,0,96252240
3721.208,6,6,3713,0,2504,0,99699285
3725.069,8,5,3718,0,2176,0,86749980
3733.857,3,5,3726,0,2201,0,87738780
3738.897,10,6,3731,0,2238,0,89201655
3812.777,1,5,3806,0,2435,0,96995100
3813.89,2,5,3807,0,2535,0,100943325
3847.58,5,7,3838,0,3219,0,127956600
3851.282,7,8,3841,0,3220,0,127997745
3861.362,9,8,3852,0,2613,0,104035860
3862.345,4,7,3854,0,2501,0,99613560
3921.232,6,7,3913,0,2704,0,107641275
3925.093,8,6,3918,0,2376,0,94691970
3933.88,3,6,3926,0,2401,0,95680770
3938.92,10,6,3931,0,2438,0,97142655
