Time,1,2,3,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.412,2700.0,4950.0,3150.0,2250.0,2025.0,2082.6,2025.0,2062.5,2418.75
30.705,5400.0,7436.25,6300.0,4500.0,4050.0,4165.2,4050.0,4125.0,4837.5
37.882,8100.0,9922.5,8649.0,6750.0,6075.0,6247.799999999999,6075.0,6187.5,7256.25
45.216,10296.818181818182,12408.75,10998.0,9000.0,8100.0,8330.4,8100.0,8250.0,9675.0
52.55,12493.636363636364,14895.0,13347.0,11250.0,10125.0,10413.0,10125.0,10312.5,11912.727272727272
57.309,14690.454545454546,17381.25,15696.0,13651.363636363636,12150.0,12495.599999999999,12150.0,12375.0,14150.454545454544
65.91199999999999,16887.272727272728,19867.5,18045.0,16052.727272727272,14175.0,14578.199999999999,14175.0,14670.0,16388.181818181816
74.615,19084.09090909091,22353.75,20394.0,18454.09090909091,16397.30769230769,16660.8,16200.0,16965.0,18625.90909090909
109.666,21280.909090909092,24840.0,22743.0,20855.454545454544,18619.615384615383,18743.399999999998,18321.0,19260.0,20863.63636363636
114.73200000000001,23477.727272727272,25965.0,25092.0,23256.818181818184,20841.923076923078,20826.0,20442.0,21555.0,23101.363636363636
119.73200000000001,25674.545454545456,27090.0,27441.0,25658.18181818182,23064.23076923077,22908.6,22563.0,23850.0,25339.090909090908
131.012,27871.36363636364,29252.8125,29790.0,28059.545454545456,25286.53846153846,24991.199999999997,24684.0,26145.0,27576.81818181818
136.131,30068.18181818182,31415.625,30915.0,30460.909090909092,27508.846153846156,27073.8,26805.0,28440.0,29814.545454545452
141.215,32265.0,33578.4375,32940.0,32862.27272727273,29731.153846153848,29156.399999999998,28926.0,30735.0,32052.272727272724
151.368,34240.0,35741.25,34965.0,35263.63636363637,31953.46153846154,31239.0,31047.0,33030.0,34290.0
166.847,36215.0,37904.0625,36990.0,37665.0,34175.769230769234,33321.6,33168.0,35325.0,36352.5
168.173,38190.0,40066.875,39015.0,38115.0,36398.07692307692,35404.2,35289.0,37620.0,38415.0
176.167,40165.0,42229.6875,41040.0,40127.5,38620.38461538462,37486.799999999996,37410.0,39915.0,40477.5
178.893,42140.0,44392.5,43065.0,42140.0,40842.69230769231,39569.4,39531.0,40590.0,42540.0
189.43599999999998,44115.0,46555.3125,45090.0,44152.5,43065.0,41652.0,41652.0,42626.84210526316,44602.5
192.334,46090.0,48718.125,47115.0,46165.0,43740.0,43734.6,43773.0,44663.68421052631,46665.0
197.50599999999997,48065.0,50880.9375,49140.0,48177.5,44865.0,45817.2,45894.0,46700.52631578947,48727.5
211.625,50040.0,53043.75,51165.0,50190.0,47009.117647058825,47899.799999999996,48015.0,48737.36842105263,50790.0
214.359,52015.0,55206.5625,53190.0,52202.5,49153.23529411765,49982.399999999994,48690.0,50774.21052631579,52852.5
230.00799999999998,53990.0,57369.375,55215.0,54215.0,51297.35294117647,52065.0,50740.0,52811.05263157895,54915.0
232.196,55965.0,59532.1875,57240.0,56227.5,53441.470588235294,52515.0,52790.0,54847.89473684211,56977.5
265.58,57940.0,61695.0,59265.0,58240.0,55585.58823529412,54527.5,54840.0,56884.73684210527,59040.0
266.045,59915.0,61695.0,61290.0,60252.5,57729.70588235294,56540.0,56890.0,58921.57894736842,61102.5
281.121,61890.0,63760.26315789473,63315.0,62265.0,59873.82352941176,58552.5,58940.0,60958.42105263158,63165.0
286.279,63865.0,65825.52631578947,64665.0,64277.5,62017.94117647059,60565.0,60990.0,62995.26315789473,65227.5
290.498,65840.0,67890.78947368421,65565.0,66290.0,64162.05882352941,62577.5,63040.0,65032.10526315789,67290.0
300.715,67815.0,69956.05263157895,67547.36842105263,68302.5,66306.17647058824,64590.0,65090.0,67068.94736842105,69352.5
316.473,69844.73684210527,72021.31578947368,69529.73684210527,70315.0,68450.29411764705,66602.5,67140.0,69105.78947368421,71415.0
316.561,71874.47368421052,74086.57894736843,71512.1052631579,72327.5,70594.41176470587,68615.0,69190.0,71142.63157894737,71415.0
329.675,73904.21052631579,76151.84210526316,73494.47368421053,74340.0,72738.5294117647,70627.5,71240.0,73179.47368421053,73422.0
334.74300000000005,75933.94736842105,78217.1052631579,75476.84210526316,75465.0,74882.64705882352,72640.0,73290.0,75216.31578947368,75429.0
335.22,77963.68421052632,80282.36842105263,77459.21052631579,75465.0,77026.76470588235,74652.5,75340.0,77253.15789473684,77436.0
351.07199999999995,79993.42105263157,82347.63157894736,79441.57894736843,77518.42105263157,79170.88235294117,76665.0,77390.0,79290.0,79443.0
360.584,82023.15789473684,84412.8947368421,81423.94736842105,79571.84210526316,81315.0,78677.5,79440.0,80415.0,81450.0
361.042,84052.8947368421,86478.15789473684,83406.31578947368,81625.26315789473,81652.5,80690.0,81490.0,81540.0,83457.0
363.707,86082.63157894736,88543.42105263157,85388.68421052632,83678.68421052632,81990.0,82702.5,83540.0,83604.70588235294,85464.0
378.16900000000004,88112.36842105263,90608.68421052632,87371.05263157895,85732.1052631579,84040.0,84715.0,85590.0,85669.41176470589,87471.0
378.24199999999996,90142.1052631579,92673.94736842105,89353.42105263157,87785.52631578947,86090.0,86727.5,85590.0,87734.11764705883,89478.0
393.39099999999996,92171.84210526316,94739.21052631579,91335.78947368421,89838.94736842105,88140.0,88740.0,87682.5,89798.82352941176,91485.0
398.454,94201.57894736843,96804.47368421052,93318.15789473684,91892.36842105263,90190.0,89865.0,89775.0,91863.5294117647,93492.0
